"Horodateur","Sexe","Votre formation","Niveau d'étude  ","Avez-vous la nationalité marocaine ? ","Que comptez-vous faire après l'obtention de votre diplôme ","Quelle est la durée de trajet de votre domicile à la faculté en minutes ? ","Vous assistez aux cours…  ","Votre entourage que vous fréquentez, est-il composé d'étudiants ayant globalement le même âge que vous ? ","Votre entourage que vous fréquentez, est-il composé d'étudiants ayant le même niveau d'études que vous ? ","Vous vous sentez pleinement intégré(e) à la population étudiante de votre formation et/ou de votre université","Quelle(s) pratique(s) mettez-vous en œuvre pour vos études ? ","Si je dois travailler dur à quelque chose, cela veut dire que je ne suis pas intelligent(e)","J'aime essayer des choses difficiles ","Lorsque je fais une erreur, j'ai honte ou je suis gêné(e) ","J'aime qu'on me dise que je suis intelligent(e)","J'abandonne généralement quand quelque chose devient difficile ou frustrant ","Ça ne me dérange pas de faire des erreurs car elles m'aident à apprendre ","Il y a des choses pour lesquelles je ne serai jamais doué(e) ","Les gens naissent soit stupides, moyens ou intelligents et ils ne peuvent changer cela par la suite ","Je suis fier(e) quand je fais de mon mieux, même si ce n'est pas parfait ","","","","","","","",""
"2024/05/06 5:06:01 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Moins de 15","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","ni pas d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Vrai","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 5:08:56 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Travailler dans le public","plus de 60","Rarement","Plus âgé(e)s que vous","de niveau supérieur","Pas vraiment d’accord","jamais","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 5:09:20 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 30 et 45","Rarement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 5:09:41 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Rarement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Pas vraiment d’accord","Environ une fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 5:10:40 PM UTC+1","Masculin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Assez régulièrement","D’âges différents","Issus de différents niveaux d’études","Plutôt d’accord","Environ une fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 5:11:31 PM UTC+1","Masculin","Tronc commun","BAC+2","Non","Continuer dans un autre parcours de formation","Entre 30 et 45","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Pas vraiment d’accord","Plusieurs fois par semaine","Faux","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Faux","Faux","","","","","","","",""
"2024/05/06 5:12:56 PM UTC+1","Masculin","Tronc commun","BAC+2","Non","Continuer dans un autre parcours de formation","Entre 30 et 45","Rarement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Pas vraiment d’accord","Presque tous les jours","Faux","Vrai","Faux","Vrai","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 5:14:21 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","plus de 60","Systématiquement","Ayant globalement le même âge que vous","de niveau supérieur","Plutôt d’accord","Presque tous les jours","Faux","Faux","Vrai","Vrai","Faux","Vrai","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/06 5:14:31 PM UTC+1","Masculin","Tronc commun","BAC+1","Oui, seulement celle-ci","Je ne sais pas","Entre 30 et 45","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Tout à fait d’accord","Presque tous les jours","Faux","Faux","Vrai","Faux","Faux","Vrai","Faux","Vrai","Vrai","","","","","","","",""
"2024/05/06 5:14:34 PM UTC+1","Féminin","LST","BAC+3","Oui, seulement celle-ci","Je ne sais pas","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Plutôt d’accord","Plusieurs fois par semaine","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 5:18:43 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Rarement","Plus âgé(e)s que vous","de niveau supérieur","Pas vraiment d’accord","jamais","Faux","Vrai","Faux","Vrai","Faux","Vrai","Faux","Faux","Faux","","","","","","","",""
"2024/05/06 5:20:34 PM UTC+1","Masculin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Rarement","D’âges différents","Issus de différents niveaux d’études","Plutôt d’accord","Presque tous les jours","Faux","Vrai","Vrai","Vrai","Faux","Faux","Vrai","Vrai","Faux","","","","","","","",""
"2024/05/06 5:22:37 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Moins de 15","Rarement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Tout à fait d’accord","jamais","Faux","Vrai","Faux","Vrai","Faux","Faux","Vrai","Faux","Faux","","","","","","","",""
"2024/05/06 5:22:49 PM UTC+1","Féminin","Ingénieur","BAC+3","Oui, seulement celle-ci","Je ne sais pas","Entre 30 et 45","Systématiquement","D’âges différents","Issus de différents niveaux d’études","Pas vraiment d’accord","Presque tous les jours","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/06 5:23:20 PM UTC+1","Masculin","Ingénieur","BAC+3","Non","Travailler dans le public","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Tout à fait d’accord","Plusieurs fois par semaine","Faux","Vrai","Vrai","Faux","Vrai","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 5:30:42 PM UTC+1","Masculin","Ingénieur","BAC+4","Oui, seulement celle-ci","Créer mon entreprise","Moins de 15","Assez régulièrement","D’âges différents","Issus de différents niveaux d’études","ni pas d’accord","Presque tous les jours","Faux","Vrai","Faux","Faux","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 5:35:16 PM UTC+1","Féminin","Tronc commun","BAC+2","Non","Continuer dans un autre parcours de formation","Entre 30 et 45","Systématiquement","D’âges différents","Issus de différents niveaux d’études","Plutôt d’accord","Plusieurs fois par semaine","Faux","Vrai","Vrai","Vrai","Faux","Faux","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 5:41:59 PM UTC+1","Masculin","Master","BAC+4","Oui, seulement celle-ci","Travailler dans le public","Moins de 15","Assez régulièrement","D’âges différents","Issus de différents niveaux d’études","Plutôt d’accord","Environ une fois par semaine","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 5:44:40 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Pas vraiment d’accord","Presque tous les jours","Faux","Vrai","Vrai","Vrai","Faux","Faux","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 5:45:35 PM UTC+1","Masculin","Ingénieur","BAC+5","Oui, seulement celle-ci","Travailler dans le privé","plus de 60","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Tout à fait d’accord","Presque tous les jours","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/06 5:51:36 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Je ne sais pas","Entre 15 et 30","Systématiquement","D’âges différents","Issus de différents niveaux d’études","Plutôt d’accord","Presque tous les jours","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 5:52:03 PM UTC+1","Masculin","Tronc commun","BAC+1","Oui, seulement celle-ci","Je ne sais pas","Entre 15 et 30","Rarement","Plus âgé(e)s que vous","Ayant le même niveau d’étude que vous","Pas du tout d’accord","jamais","Vrai","Faux","Vrai","Faux","Vrai","Faux","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 6:07:14 PM UTC+1","Féminin","Ingénieur","BAC+5","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 30 et 45","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Une fois ou deux","Faux","Vrai","Faux","Vrai","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 6:11:23 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Travailler dans le public","Entre 15 et 30","Assez régulièrement","Plus jeunes que vous","Ayant le même niveau d’étude que vous","ni pas d’accord","Une fois ou deux","Faux","Vrai","Vrai","Faux","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 6:13:13 PM UTC+1","Féminin","Master","BAC+3","Non","Créer mon entreprise","plus de 60","Assez régulièrement","D’âges différents","Issus de différents niveaux d’études","Pas du tout d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Faux","Vrai","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 6:14:40 PM UTC+1","Féminin","Tronc commun","BAC+1","Non","Travailler dans le public","Entre 15 et 30","Systématiquement","D’âges différents","de niveau supérieur","Tout à fait d’accord","Plusieurs fois par semaine","Faux","Faux","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 6:46:06 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Je ne sais pas","Entre 15 et 30","Assez régulièrement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Tout à fait d’accord","Plusieurs fois par semaine","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 6:59:16 PM UTC+1","Masculin","Tronc commun","BAC+2","Non","Je ne sais pas","Entre 45 et 60","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Tout à fait d’accord","jamais","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 6:59:18 PM UTC+1","Masculin","Ingénieur","BAC+3","Oui, seulement celle-ci","Travailler dans le public","plus de 60","Systématiquement","Ayant globalement le même âge que vous","De niveau inférieur","Tout à fait d’accord","Une fois ou deux","Faux","Vrai","Faux","Faux","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 7:07:51 PM UTC+1","Féminin","LST","BAC+3","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Plus âgé(e)s que vous","Issus de différents niveaux d’études","Plutôt d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 7:33:59 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Ni d’accord","Plusieurs fois par semaine","Faux","Faux","Faux","Faux","Vrai","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 7:57:41 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Moins de 15","Assez régulièrement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Pas vraiment d’accord","Une fois ou deux","Faux","Vrai","Faux","Faux","Faux","Vrai","Faux","Vrai","Faux","","","","","","","",""
"2024/05/06 7:58:31 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Je ne sais pas","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Pas vraiment d’accord","Presque tous les jours","Faux","Vrai","Vrai","Vrai","Faux","Faux","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 8:03:38 PM UTC+1","Féminin","Tronc commun","BAC+1","Non","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Plutôt d’accord","Une fois ou deux","Faux","Vrai","Vrai","Vrai","Vrai","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 8:07:36 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Travailler dans le public","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Pas du tout d’accord","Une fois ou deux","Faux","Faux","Vrai","Faux","Faux","Faux","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 8:18:29 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","D’âges différents","Issus de différents niveaux d’études","Pas vraiment d’accord","Presque tous les jours","Faux","Vrai","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","","","","","","","",""
"2024/05/06 8:21:03 PM UTC+1","Féminin","LST","BAC+3","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","plus de 60","Systématiquement","D’âges différents","Issus de différents niveaux d’études","Plutôt d’accord","Presque tous les jours","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 8:26:32 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Créer mon entreprise","Entre 15 et 30","Assez régulièrement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Pas vraiment d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 8:41:46 PM UTC+1","Masculin","Tronc commun","BAC+2","Non","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Presque tous les jours","Faux","Vrai","Faux","Vrai","Vrai","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 8:47:51 PM UTC+1","Féminin","LST","BAC+1","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 45 et 60","Assez régulièrement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Tout à fait d’accord","Une fois ou deux","Faux","Vrai","Vrai","Faux","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 9:00:56 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Je ne sais pas","Moins de 15","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Pas vraiment d’accord","Plusieurs fois par semaine","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 9:03:25 PM UTC+1","Féminin","Tronc commun","1ère année Mipc ","Oui, seulement celle-ci","Travailler dans le public","Entre 15 et 30","Assez régulièrement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Faux","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 9:06:56 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Je ne sais pas","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Pas vraiment d’accord","Plusieurs fois par semaine","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 9:10:20 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","plus de 60","Assez régulièrement","D’âges différents","Ayant le même niveau d’étude que vous","Pas vraiment d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Faux","Vrai","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 9:15:22 PM UTC+1","Masculin","Tronc commun","BAC+2","Non","Continuer dans un autre parcours de formation","Entre 30 et 45","Systématiquement","D’âges différents","Issus de différents niveaux d’études","Pas vraiment d’accord","Une fois ou deux","Faux","Vrai","Vrai","Faux","Faux","Vrai","Faux","Faux","Faux","","","","","","","",""
"2024/05/06 9:49:20 PM UTC+1","Masculin","Tronc commun","BAC+2","Oui et une autre ou d’autre nationalité","Travailler dans le privé","Entre 30 et 45","Assez régulièrement","Plus jeunes que vous","de niveau supérieur","Ni d’accord","Plusieurs fois par semaine","Vrai","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/06 9:55:11 PM UTC+1","Masculin","LST","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 30 et 45","Assez régulièrement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Pas vraiment d’accord","Presque tous les jours","Faux","Vrai","Vrai","Vrai","Faux","Faux","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/06 10:04:46 PM UTC+1","Féminin","Ingénieur","BAC+4","Oui, seulement celle-ci","Travailler dans le public","Entre 30 et 45","Assez régulièrement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Pas du tout d’accord","Environ une fois par semaine","Faux","Vrai","Faux","Faux","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 10:07:28 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","plus de 60","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Tout à fait d’accord","Environ une fois par semaine","Faux","Vrai","Faux","Vrai","Vrai","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 10:32:55 PM UTC+1","Féminin","LST","BAC+2","Oui, seulement celle-ci","Travailler dans le public","Moins de 15","Systématiquement","Plus âgé(e)s que vous","De niveau inférieur","Pas du tout d’accord","Une fois ou deux","Faux","Vrai","Faux","Faux","Vrai","Vrai","Faux","Vrai","Vrai","","","","","","","",""
"2024/05/06 10:37:44 PM UTC+1","Masculin","Ingénieur","BAC+5","Non","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Tout à fait d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 10:57:36 PM UTC+1","Féminin","LST","BAC+3","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Plusieurs fois par semaine","Faux","Vrai","Vrai","Vrai","Vrai","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 11:06:48 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Assez régulièrement","D’âges différents","Issus de différents niveaux d’études","Pas vraiment d’accord","Plusieurs fois par semaine","Faux","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/06 11:07:51 PM UTC+1","Masculin","Tronc commun","BAC+1","Non","Créer mon entreprise","Moins de 15","Systématiquement","D’âges différents","Issus de différents niveaux d’études","Tout à fait d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Faux","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/07 12:05:07 AM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Travailler dans le public","plus de 60","Assez régulièrement","D’âges différents","Ayant le même niveau d’étude que vous","Pas du tout d’accord","Environ une fois par semaine","Faux","Vrai","Faux","Vrai","Vrai","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/07 12:47:01 AM UTC+1","Féminin","Ingénieur","BAC+5","Oui, seulement celle-ci","Travailler dans le privé","Moins de 15","Systématiquement","D’âges différents","Issus de différents niveaux d’études","Tout à fait d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/07 1:41:51 AM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Travailler dans le privé","Entre 45 et 60","Systématiquement","Ayant globalement le même âge que vous","de niveau supérieur","Pas du tout d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/07 3:13:08 AM UTC+1","Masculin","Tronc commun","BAC+2","Oui, seulement celle-ci","Créer mon entreprise","Entre 15 et 30","Assez régulièrement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/07 11:11:10 AM UTC+1","Masculin","Master","BAC+4","Oui, seulement celle-ci","Travailler dans le privé","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Presque tous les jours","Faux","Faux","Faux","Vrai","Vrai","Vrai","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/07 12:50:45 PM UTC+1","Féminin","LST","BAC+4","Oui, seulement celle-ci","Je ne sais pas","Moins de 15","Systématiquement","D’âges différents","Issus de différents niveaux d’études","ni pas d’accord","Environ une fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/07 12:52:00 PM UTC+1","Masculin","Tronc commun","BAC+1","Oui, seulement celle-ci","Je ne sais pas","Entre 30 et 45","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Pas vraiment d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Faux","Faux","Faux","Faux","","","","","","","",""
"2024/05/07 2:54:06 PM UTC+1","Féminin","Ingénieur","BAC+5","Oui, seulement celle-ci","Travailler dans le privé","Entre 30 et 45","Systématiquement","D’âges différents","Issus de différents niveaux d’études","Pas vraiment d’accord","Environ une fois par semaine","Faux","Vrai","Faux","Faux","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/07 3:52:44 PM UTC+1","Féminin","LST","BAC+3","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Plus âgé(e)s que vous","Ayant le même niveau d’étude que vous","Pas vraiment d’accord","Presque tous les jours","Faux","Faux","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Faux","","","","","","","",""
"2024/05/07 4:02:19 PM UTC+1","Masculin","Ingénieur","BAC+3","Oui, seulement celle-ci","Travailler dans le public","Moins de 15","Systématiquement","Plus jeunes que vous","de niveau supérieur","Pas vraiment d’accord","Environ une fois par semaine","Vrai","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/07 4:05:07 PM UTC+1","Masculin","LST","BAC+3","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","plus de 60","Systématiquement","Ayant globalement le même âge que vous","Redoublants","Plutôt d’accord","Environ une fois par semaine","Faux","Vrai","Faux","Vrai","Vrai","Vrai","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/07 7:29:27 PM UTC+1","Masculin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Tout à fait d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Faux","Vrai","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/07 11:47:21 PM UTC+1","Féminin","Tronc commun","BAC+3","Oui, seulement celle-ci","Travailler dans le public","Moins de 15","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Pas vraiment d’accord","Plusieurs fois par semaine","Faux","Faux","Vrai","Vrai","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/08 2:56:54 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Pas vraiment d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/10 4:02:27 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Je ne sais pas","Moins de 15","Assez régulièrement","D’âges différents","Issus de différents niveaux d’études","Pas vraiment d’accord","Environ une fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/10 11:16:14 PM UTC+1","Masculin","Tronc commun","BAC+1","Non","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","Plus âgé(e)s que vous","de niveau supérieur","Plutôt d’accord","Plusieurs fois par semaine","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Vrai","Vrai","","","","","","","",""
